,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
0,Shared room,Boston,South End,0,0.0,1,1.0,500.0,42.341763,-71.075397,0101000020E6100000DB4DF04DD3C451C0CEFDD5E3BE2B4540
1,Shared room,Boston,Brighton,0,0.0,1,1.0,225.0,42.360686,-71.141508,0101000020E6100000D50792770EC951C0021077F52A2E4540
2,Shared room,Boston,Roxbury,0,0.0,2,1.0,150.0,42.337483,-71.079116,0101000020E6100000C8258E3C10C551C05DFA97A4322B4540
3,Shared room,Boston,South End,106,5.0,3,1.0,125.0,42.344125,-71.070483,0101000020E610000022FB20CB82C451C0355EBA490C2C4540
4,Shared room,Boston,Back Bay,2,0.0,1,1.0,105.0,42.351065999999996,-71.080316,0101000020E61000001D56B8E523C551C0685E0EBBEF2C4540
5,Shared room,Boston,Downtown,12,5.0,2,1.0,103.0,42.366695,-71.06633599999999,0101000020E61000000AA359D93EC451C0A94D9CDCEF2E4540
6,Shared room,Boston,Allston,0,0.0,2,1.0,80.0,42.34827,-71.133825,0101000020E6100000C898BB9690C851C0C616821C942C4540
7,Shared room,Boston,Fenway,56,4.5,1,1.0,85.0,42.342757,-71.090121,0101000020E6100000B3EBDE8AC4C551C0CFBC1C76DF2B4540
8,Shared room,Boston,Downtown,9,5.0,2,1.0,90.0,42.351019,-71.064549,0101000020E610000054FF209221C451C027A3CA30EE2C4540
9,Shared room,Boston,South Boston,72,4.5,1,1.0,83.0,42.331261,-71.046148,0101000020E6100000A7B1BD16F4C251C05AB8ACC2662A4540
10,Shared room,Boston,Jamaica Plain,8,4.5,2,1.0,75.0,42.30688,-71.112318,0101000020E61000002330D63730C751C0F3E505D847274540
11,Shared room,Boston,East Boston,0,0.0,1,1.0,70.0,42.382627,-71.0201,0101000020E610000093A9825149C151C086C8E9EBF9304540
12,Shared room,Boston,Dorchester,8,5.0,1,1.0,80.0,42.284938000000004,-71.076511,0101000020E610000031B2648EE5C451C09EB12FD978244540
